Original_X,Original_Y,Original_Z,Noisy_X,Noisy_Y,Noisy_Z,Filtered_X,Filtered_Y,Filtered_Z
-0.00359063,0.0121798,-0.00100923,-0.00358889,0.0123231,-0.000963868,-0.0121164,0.00258354,-0.00790248
-0.00263575,0.0160189,-0.00100874,-0.00257528,0.0157528,-0.00103527,-0.0143159,0.00400644,-0.00854223
-0.00120551,0.0217664,-0.00100792,-0.00126233,0.0223581,-0.000994253,-0.019057,0.00699453,-0.0097845
0.000399858,0.0282154,-0.00100739,0.000409803,0.029607,-0.000981421,-0.0241016,0.0100717,-0.0107693
0.00334522,0.0400386,-0.00100714,0.0017849,0.0341131,-0.00100986,-0.0306845,0.0140052,-0.0118838
0.00526663,0.0477469,-0.00100734,0.00547178,0.0490079,-0.000974085,-0.0366795,0.0175874,-0.0128962
0.00983999,0.0660803,-0.00100926,0.0100676,0.0659769,-0.000993615,-0.0409519,0.0201301,-0.0135913
0.0140112,0.0827891,-0.00101191,0.0141556,0.0807792,-0.00105854,-0.0449937,0.0225128,-0.0142082
0.0168712,0.0942773,-0.00101043,0.0165866,0.095023,-0.00101137,-0.052709,0.0269726,-0.0152434
0.0229337,0.118075,-0.00100644,0.0205644,0.114719,-0.000987577,-0.061959,0.0322265,-0.0163359
0.0269361,0.133206,-0.00100728,0.0262103,0.127583,-0.00100948,-0.0762215,0.0402326,-0.0176876
0.0355909,0.16566,-0.00100926,0.0359515,0.163835,-0.00101925,-0.0917128,0.0488877,-0.0188231
0.0401004,0.182547,-0.00101227,0.0415776,0.181398,-0.00099232,-0.103971,0.0557078,-0.0195887
0.0467786,0.207594,-0.00101025,0.047034,0.20651,-0.00103442,-0.120571,0.0649814,-0.0207309
0.0534638,0.232658,-0.00100719,0.051139,0.236182,-0.00105065,-0.136808,0.0741624,-0.0216914
0.0601739,0.25781,-0.00100803,0.0625458,0.270157,-0.00100117,-0.157464,0.0860163,-0.0227715
0.0691218,0.291302,-0.00101219,0.0718347,0.284925,-0.000987144,-0.177507,0.0975393,-0.0237478
